File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/random_ER/random_12_6_0.dimacs	0.27	12	12	7	726	726
../test_instances/final/random_ER/random_12_6_1.dimacs	0.16	12	12	7	726	726
../test_instances/final/random_ER/random_12_7_0.dimacs	0.15	12	12	8	726	726
../test_instances/final/random_ER/random_12_7_1.dimacs	0.02	12	12	4	726	726
../test_instances/final/random_ER/random_12_8_0.dimacs	0.27	12	12	7	726	726
../test_instances/final/random_ER/random_12_8_1.dimacs	0.03	12	12	5	726	726
../test_instances/final/random_ER/random_12_9_0.dimacs	0.02	12	12	2	726	726
../test_instances/final/random_ER/random_12_9_1.dimacs	0.02	12	12	1	726	726
../test_instances/final/random_ER/random_14_1_0.dimacs	0.01	14	10	1	1183	405
../test_instances/final/random_ER/random_14_1_1.dimacs	0.00	14	6	1	1183	75
../test_instances/final/random_ER/random_14_2_0.dimacs	0.03	14	13	4	1183	936
../test_instances/final/random_ER/random_14_2_1.dimacs	0.16	14	14	7	1183	1183
../test_instances/final/random_ER/random_14_3_0.dimacs	0.21	14	14	9	1183	1183
../test_instances/final/random_ER/random_14_3_1.dimacs	0.40	14	14	13	1183	1183
../test_instances/final/random_ER/random_14_4_0.dimacs	0.43	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_4_1.dimacs	0.10	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_5_0.dimacs	0.36	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_5_1.dimacs	0.34	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_6_0.dimacs	0.53	14	14	12	1183	1183
../test_instances/final/random_ER/random_14_6_1.dimacs	0.37	14	14	11	1183	1183
../test_instances/final/random_ER/random_14_7_0.dimacs	0.18	14	14	9	1183	1183
../test_instances/final/random_ER/random_14_7_1.dimacs	0.12	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_8_0.dimacs	0.07	14	14	7	1183	1183
../test_instances/final/random_ER/random_14_8_1.dimacs	0.14	14	14	8	1183	1183
../test_instances/final/random_ER/random_14_9_0.dimacs	0.26	14	14	7	1183	1183
../test_instances/final/random_ER/random_14_9_1.dimacs	0.03	14	14	3	1183	1183
../test_instances/final/random_ER/random_16_1_0.dimacs	0.01	16	6	1	1800	75
../test_instances/final/random_ER/random_16_1_1.dimacs	0.01	16	6	1	1800	75
../test_instances/final/random_ER/random_16_2_0.dimacs	0.18	16	16	8	1800	1800
../test_instances/final/random_ER/random_16_2_1.dimacs	0.05	16	14	5	1800	1183
../test_instances/final/random_ER/random_16_3_0.dimacs	0.62	16	16	10	1800	1800
../test_instances/final/random_ER/random_16_3_1.dimacs	0.66	16	16	14	1800	1800
../test_instances/final/random_ER/random_16_4_0.dimacs	0.70	16	16	15	1800	1800
../test_instances/final/random_ER/random_16_4_1.dimacs	0.95	16	16	14	1800	1800
../test_instances/final/random_ER/random_16_5_0.dimacs	1.09	16	16	20	1800	1800
../test_instances/final/random_ER/random_16_5_1.dimacs	1.24	16	16	17	1800	1800
../test_instances/final/random_ER/random_16_6_0.dimacs	0.97	16	16	19	1800	1800
../test_instances/final/random_ER/random_16_6_1.dimacs	0.88	16	16	16	1800	1800
../test_instances/final/random_ER/random_16_7_0.dimacs	1.04	16	16	15	1800	1800
../test_instances/final/random_ER/random_16_7_1.dimacs	0.79	16	16	12	1800	1800
../test_instances/final/random_ER/random_16_8_0.dimacs	0.16	16	16	9	1800	1800
../test_instances/final/random_ER/random_16_8_1.dimacs	0.20	16	16	8	1800	1800
../test_instances/final/random_ER/random_16_9_0.dimacs	0.05	16	16	5	1800	1800
../test_instances/final/random_ER/random_16_9_1.dimacs	0.07	16	16	5	1800	1800
../test_instances/final/random_ER/random_18_1_0.dimacs	0.02	18	12	2	2601	726
