File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/66_50/cog_12_1072.dimacs	0.02	12	12	2	726	726
../test_instances/final/66_50/cog_12_1930.dimacs	0.01	12	12	2	726	726
../test_instances/final/66_50/cog_13_451.dimacs	0.05	13	13	5	936	936
../test_instances/final/66_50/cog_13_614.dimacs	0.00	13	0	0	936	0
../test_instances/final/66_50/cog_14_1144.dimacs	0.30	14	14	9	1183	1183
../test_instances/final/66_50/cog_14_401.dimacs	0.02	14	13	3	1183	936
../test_instances/final/66_50/cog_15_342.dimacs	0.00	15	0	0	1470	0
../test_instances/final/66_50/cog_15_955.dimacs	0.04	15	15	3	1470	1470
../test_instances/final/66_50/cog_16_1457.dimacs	0.08	16	16	7	1800	1800
../test_instances/final/66_50/cog_16_3052.dimacs	0.08	16	16	8	1800	1800
../test_instances/final/66_50/cog_17_1386.dimacs	0.05	17	17	6	2176	2176
../test_instances/final/66_50/cog_17_3926.dimacs	0.04	17	17	5	2176	2176
../test_instances/final/66_50/cog_18_1804.dimacs	0.12	18	18	8	2601	2601
../test_instances/final/66_50/cog_18_2686.dimacs	0.22	18	18	10	2601	2601
../test_instances/final/66_50/cog_19_3088.dimacs	0.04	19	19	2	3078	2755
../test_instances/final/66_50/cog_19_484.dimacs	0.05	19	19	4	3078	3078
../test_instances/final/66_50/cog_20_1892.dimacs	0.06	20	20	6	3610	3610
../test_instances/final/66_50/cog_20_2439.dimacs	0.41	20	20	14	3610	3610
../test_instances/final/66_50/cog_21_2640.dimacs	0.25	21	21	10	4200	4200
../test_instances/final/66_50/cog_21_690.dimacs	0.18	21	19	10	4200	3078
../test_instances/final/66_50/cog_22_2105.dimacs	0.18	22	22	11	4851	4411
../test_instances/final/66_50/cog_22_3925.dimacs	0.11	22	21	8	4851	4200
../test_instances/final/66_50/cog_23_646.dimacs	2.44	23	23	19	5566	5566
../test_instances/final/66_50/cog_23_81.dimacs	0.12	23	22	6	5566	4411
../test_instances/final/66_50/cog_24_1073.dimacs	0.25	24	24	13	6348	6348
../test_instances/final/66_50/cog_24_1679.dimacs	0.10	24	24	7	6348	5820
../test_instances/final/66_50/cog_25_296.dimacs	2.55	25	25	20	7200	6601
../test_instances/final/66_50/cog_25_84.dimacs	0.40	25	25	14	7200	7200
../test_instances/final/66_50/cog_26_1505.dimacs	0.25	26	26	11	8125	8125
../test_instances/final/66_50/cog_26_3628.dimacs	1.21	26	26	22	8125	8125
../test_instances/final/66_50/cog_27_1330.dimacs	0.92	27	27	22	9126	9126
../test_instances/final/66_50/cog_27_2415.dimacs	0.21	27	25	9	9126	7200
../test_instances/final/66_50/cog_28_1688.dimacs	5.23	28	28	27	10206	10206
../test_instances/final/66_50/cog_28_261.dimacs	5.47	28	28	25	10206	10206
../test_instances/final/66_50/cog_29_320.dimacs	0.32	29	29	12	11368	10585
../test_instances/final/66_50/cog_29_953.dimacs	7.53	29	28	29	11368	10206
../test_instances/final/66_50/cog_30_1047.dimacs	0.16	30	28	5	12615	9478
../test_instances/final/66_50/cog_30_416.dimacs	1.24	30	30	25	12615	12615
../test_instances/final/66_50/cog_31_1602.dimacs	0.21	31	31	2	13950	13950
../test_instances/final/66_50/cog_31_23.dimacs	2.27	31	31	26	13950	13950
../test_instances/final/66_50/cog_32_1124.dimacs	1.20	32	32	14	15376	15376
../test_instances/final/66_50/cog_32_1344.dimacs	10.04	32	32	28	15376	15376
../test_instances/final/66_50/cog_33_1094.dimacs	9.69	33	33	40	16896	16896
../test_instances/final/66_50/cog_33_1673.dimacs	11.23	33	33	48	16896	16896
../test_instances/final/66_50/cog_34_222.dimacs	3.72	34	34	30	18513	18513
../test_instances/final/66_50/cog_34_3576.dimacs	0.56	34	34	18	18513	17425
../test_instances/final/66_50/cog_35_1137.dimacs	0.23	35	34	2	20230	18513
../test_instances/final/66_50/cog_35_691.dimacs	0.52	35	34	14	20230	17425
../test_instances/final/66_50/cog_36_2275.dimacs	0.85	36	34	23	22050	18513
../test_instances/final/66_50/cog_36_71.dimacs	0.62	36	34	13	22050	18513
../test_instances/final/66_50/cog_37_1715.dimacs	1.23	37	35	24	23976	19075
../test_instances/final/66_50/cog_37_2407.dimacs	3.87	37	37	41	23976	23976
../test_instances/final/66_50/cog_38_211.dimacs	0.44	38	35	7	26011	20230
../test_instances/final/66_50/cog_38_2566.dimacs	26.88	38	38	56	26011	26011
../test_instances/final/66_50/cog_39_1510.dimacs	5.39	39	39	36	28158	28158
../test_instances/final/66_50/cog_39_4.dimacs	3.47	39	39	41	28158	28158
../test_instances/final/66_50/cog_40_1281.dimacs	8.31	40	39	35	30420	28158
../test_instances/final/66_50/cog_40_1327.dimacs	2.15	40	39	24	30420	28158
../test_instances/final/66_50/cog_41_1081.dimacs	3.32	41	41	27	32800	32800
../test_instances/final/66_50/cog_41_280.dimacs	0.79	41	39	16	32800	28158
../test_instances/final/66_50/cog_42_1342.dimacs	6.89	42	42	37	35301	35301
../test_instances/final/66_50/cog_42_165.dimacs	1.23	42	37	17	35301	23976
../test_instances/final/66_50/cog_43_1006.dimacs	2372.70	43	43	108	37926	37926
../test_instances/final/66_50/cog_43_1800.dimacs	5.89	43	43	27	37926	37926
../test_instances/final/66_50/cog_44_1288.dimacs	1.04	44	40	18	40678	30420
../test_instances/final/66_50/cog_44_1449.dimacs	4.76	44	44	36	40678	38830
../test_instances/final/66_50/cog_45_875.dimacs	36.13	45	43	64	43560	37926
../test_instances/final/66_50/cog_45_900.dimacs	6.88	45	45	38	43560	43560
../test_instances/final/66_50/cog_46_60.dimacs	0.36	46	39	1	46575	28158
../test_instances/final/66_50/cog_46_686.dimacs	27.18	46	46	51	46575	46575
../test_instances/final/66_50/cog_47_1853.dimacs	80.79	47	47	74	49726	49726
../test_instances/final/66_50/cog_47_2176.dimacs	0.79	47	42	9	49726	35301
../test_instances/final/66_50/cog_48_1518.dimacs	6.38	48	47	27	53016	45542
../test_instances/final/66_50/cog_48_156.dimacs	3.42	48	45	32	53016	43560
../test_instances/final/66_50/cog_49_1338.dimacs	583.44	49	49	90	56448	56448
../test_instances/final/66_50/cog_49_508.dimacs	109.45	49	49	82	56448	56448
../test_instances/final/66_50/cog_50_523.dimacs	40.76	50	50	61	60025	60025
../test_instances/final/66_50/cog_50_981.dimacs	11.65	50	50	48	60025	60025
../test_instances/final/66_50/cog_6_1212.dimacs	0.03	6	6	1	75	75
../test_instances/final/66_50/cog_6_1912.dimacs	0.00	6	0	0	75	0
../test_instances/final/66_50/cog_7_1856.dimacs	0.01	7	7	1	126	126
../test_instances/final/66_50/cog_7_3469.dimacs	0.00	7	0	0	126	0
../test_instances/final/66_50/cog_8_3047.dimacs	0.01	8	8	1	196	196
../test_instances/final/66_50/cog_8_3064.dimacs	0.01	8	8	2	196	196
../test_instances/final/66_50/cog_9_1293.dimacs	0.00	9	0	0	288	0
../test_instances/final/66_50/cog_9_3084.dimacs	0.01	9	9	1	288	288
../test_instances/final/random_ER/random_10_1_0.dimacs	0.00	10	5	1	405	21
